sentence,true_label,pred_label
Ese sinvergüenza siempre me pide dinero.,spa,spa
Tom pensó que Mary no sería capaz de ganar más de treinta dólares por hora.,spa,spa
¿Dónde estás trabajando?,spa,spa
Tengo ganas de decirle alguna barbaridad.,spa,spa
"Tus dos pechos, como gemelos de gacela, que se apacientan entre lirios.",spa,spa
Mi hermano estudió en Inglaterra.,spa,spa
Tom knows that I hate spinach.,eng,spa
Los fantasmas no existen.,spa,eng
¡Jala!,spa,spa
Is there anyone you can trust in this cold place?,eng,spa
We'll be home tomorrow night.,eng,eng
I'm gonna call the police!,eng,eng
I waited for him till ten.,eng,spa
Tom said he thought that Mary probably wouldn't win.,eng,spa
Acabo de volver a la ciudad.,spa,spa
"Si mañana hace buen tiempo, vayamos de paseo.",spa,spa
Tom likes electronic dance music.,eng,spa
"The bill's correct, thank you.",eng,spa
The doctors were wrong to condemn the couple.,eng,spa
Sami empezó a leer a los tres años.,spa,spa
¡Mil gracias!,spa,eng
Yo sé que no siempre es fácil.,spa,spa
Tom seems distraught.,eng,eng
Él está celoso de su talento.,spa,spa
"Con un poco de planificación, creo que podemos llevar a nuestra compañía a la cima.",spa,spa
You look awesome!,eng,eng
Mary said she had no other details.,eng,spa
El racismo arraiga en la desconfianza y el desprecio por los hombres que se distinguen en la apariencia física y la cultura.,spa,spa
"Has engordado, ¿verdad?",spa,spa
¿Tom me mencionó?,spa,spa
"Whose documents are these? ""They are Michael's.""",eng,eng
This isn't Tom's office.,eng,spa
Mi sueño es ser profesor.,spa,eng
Tom has gone insane.,eng,spa
Tom and Mary say they won't do that unless John helps them.,eng,spa
Los granjeros tienen graneros.,spa,spa
Perdón pero estoy buscando a mi hermana. ¿Está aquí? No la he visto por un par de horas desde que llegamos.,spa,spa
Es muy difícil llevarse bien con él.,spa,spa
"Puede que Tom no quiera cantar, pero aun así deberías preguntarle.",spa,spa
¿Cómo me has encontrado?,spa,spa
"Makes you think, doesn't it?",eng,eng
Nadie vio el pájaro volar.,spa,spa
El libro de Jack es interesante.,spa,spa
Pregunta en el bar a ver si tienen wifi.,spa,spa
They know that they ought to do that.,eng,eng
What software do you use the most often?,eng,eng
Puede besar a la novia.,spa,spa
"Tom is doing well so far, isn't he?",eng,spa
I know Tom wasn't the first one to do that.,eng,eng
Neither Esperanto nor Interlingua employ double negative.,eng,spa
I am convinced that something is happening between them.,eng,spa
Luces muy contenta.,spa,spa
Se ha detenido a un hombre inocente por error.,spa,eng
I'm from Israel.,eng,spa
I cannot thank him enough.,eng,spa
Everybody is ready.,eng,spa
Tom has gotten fatter.,eng,eng
Él rechazó el plan.,spa,spa
Utah has some beautiful national parks.,eng,spa
Mary is going to do that the way you told her to.,eng,spa
He hecho una lista de los alimentos que no puedo comer.,spa,eng
Fadil was sentenced to death for the killing of a young girl.,eng,spa
¡Ven aquí!,spa,eng
Cualquier comentario será agradecidamente apreciado.,spa,spa
"Meanwhile from neighbouring Tenedos once more, / beneath the tranquil moonbeam's friendly care, / with ordered ships, along the deep sea-floor, / back came the Argive host, and sought the well-known shore. / Forth from the royal galley sprang the flame, / when Sinon, screened by partial Fate, withdrew / the bolts and barriers of the pinewood frame, / and from its inmost caverns, bared to view, / the fatal horse disgorged the Danaan crew.",eng,spa
The jack of diamonds.,eng,spa
Sería fantástico tener un jardín zen delante de mi casa.,spa,spa
The breakfast cafe will kill me sooner than later.,eng,eng
Su pregunta no tiene relación al tema.,spa,spa
Winter is approaching.,eng,spa
What's gotten into you anyway?,eng,spa
It's serious.,eng,spa
Tom no ha venido a trabajar esta mañana.,spa,spa
Let's send Tom a Christmas card this year.,eng,spa
Tom seemed a little too eager to do that.,eng,eng
Of course he passed the test.,eng,eng
Layla was working as a dispatcher.,eng,eng
Tom says he believes he can do that.,eng,eng
Tengo que ir a una reunión.,spa,spa
¿Qué pasó contigo y Tom?,spa,spa
Tom no sabe por qué te llamé.,spa,spa
Tuve que pagar 5 dólares de más.,spa,spa
¿Cuándo y dónde compraste ese reloj antiguo?,spa,spa
Would it be all right if I let Tom do that?,eng,eng
Tom was starting to feel a little uncomfortable.,eng,spa
Siempre cometes errores.,spa,spa
Soy epiléptico.,spa,spa
Yo no compro ni bombones ni galletas.,spa,spa
Speed isn't everything.,eng,spa
Have I done something wrong?,eng,spa
I hope Tom doesn't waste our time.,eng,spa
No me costó encontrar su oficina.,spa,spa
En mi casa hay fantasmas.,spa,spa
Creo que estoy enamorada de él.,spa,spa
No he visto a nadie aparte de ti.,spa,spa
Dime por qué hablas tan alto.,spa,spa
I doubt if he will succeed.,eng,spa
What is polite in one culture may not be polite in another.,eng,eng
What did Tom write about?,eng,eng
¿Quién es la persona sentada en la otra punta de la mesa?,spa,spa
Mary hid behind her large sunglasses.,eng,spa
No disparen antes de que dé la orden.,spa,spa
Tom and Mary said that they were unconvinced.,eng,spa
No sabía que el auto de Tom estaba robado.,spa,spa
Tom didn't tell anyone he was planning to do that.,eng,eng
Jim me ha señalado algunos errores gramaticales en la redacción.,spa,spa
I think Tom and Mary wouldn't be forgiven for doing that if they weren't so young.,eng,spa
Los jóvenes hicieron fila para comprar las entradas del show.,spa,spa
Tom reads nothing but fiction.,eng,spa
Todo lo que es inventado es verdadero.,spa,spa
Yo propuse que nos fuésemos a pescar.,spa,spa
Ella perdió la llave de su casillero mientras nadaba en la alberca.,spa,spa
He's too old.,eng,spa
Lo mejor es ir regularmente al dentista.,spa,spa
"Él bebió tres vasos de aquella agua, uno detrás de otro.",spa,spa
It's all you really can do.,eng,spa
There is food on the desk.,eng,eng
Oigo todo.,spa,spa
Los programadores están intentando reproducir el error para poder corregirlo.,spa,spa
Tom and I've known each other quite a few years.,eng,spa
Tom called off his trip.,eng,spa
This is not a book for children.,eng,spa
Learning English isn't difficult.,eng,eng
Stop defending Sami.,eng,spa
"Cuando el semáforo está parpadeante, tienes que mirar bien.",spa,spa
Los terremotos pueden ocurrir en cualquier momento.,spa,spa
It was raining when we arrived.,eng,spa
Las señales tienen colores diferentes.,spa,spa
That happens to be true.,eng,spa
I tossed one to Tom.,eng,spa
And pigs might fly!,eng,spa
¿Sabías que a Tom no le gusta el chocolate?,spa,spa
"La sala era tan grande como para contener a más de 1,000 personas.",spa,spa
"Tom wasn't able to do that, but Mary was.",eng,spa
I don't think that what Tom did was easy.,eng,spa
He said that he lost his temper.,eng,eng
Ustedes hacían como si no fuera nada.,spa,spa
Do you know what it means when a man presents a ring to a woman?,eng,spa
Quiero quedarme en casa.,spa,spa
"Who swings too high, achieves nothing.",eng,spa
